;Inhabitants;;;;;;;;;;;;;Households;;;;;;Home;;;;;;;;;;;;;;;Social Security
;Total;Sex;;Age classes;;;;;Origin;;;;;Total;Compound;;;;Size;Total;Construction period;;;;;;;;Type;;Property;;In use;Value;Total benefits
Zip code-6;Total;man;Woman;up to 15 years;15 to 25 years;25 to 45 years;45 to 65 years;65 years and older;Born in the Netherlands with a Dutch origin;Born in the Netherlands with a European origin (excluding the Netherlands);Born in the Netherlands with origin outside Europe;Born outside the Netherlands with a European origin (excluding the Netherlands);Born outside the Netherlands with an origin outside Europe;Total;single;Multiple person without children;A parent;Two parent;Household size;Total;before 1945;1945 to 1965;1965 to 1975;1975 to 1985;1985 to 1995;1995 to 2005;2005 to 2015;2015 and later;Multifamily;Owner-occupied home;Rental house;Rental cooperative;Not inhabited;WOZ value home;Persons with unemployment benefits, social assistance and/or AO benefits below state pension age
6211AL;225;120;105;0;135;70;10;10;40;0;0;30;20;215;205;5;0;0;1;245;85;0;0;0;160;0;0;0;245;0;100;85;35;116;20
6211AM;25;10;10;0;0;10;5;0;80;0;0;0;20;15;10;5;0;0;1,4;15;0;0;0;15;0;0;0;0;10;70;30;0;0;0;0
6211AN;80;40;40;0;30;15;20;15;60;0;10;20;10;60;45;15;0;0;1,3;50;0;0;0;50;0;0;0;0;35;60;30;0;5;237;0
6211AP;40;15;25;0;0;10;10;15;70;0;0;0;0;30;25;5;0;0;1,3;30;0;0;0;30;0;0;0;0;25;0;100;0;0;237;0
6211AR;50;20;25;0;10;25;10;0;60;0;0;10;20;40;35;0;0;0;1,2;40;0;0;0;20;15;0;0;0;40;0;100;0;0;141;0
6211AT;30;25;5;0;0;5;15;5;60;0;0;0;0;25;20;0;0;0;1,3;20;15;0;0;0;0;0;0;0;10;40;60;10;0;327;10
6211AV;60;30;30;0;40;15;0;0;40;0;0;40;20;50;40;10;0;0;1,2;45;45;0;0;0;0;0;0;0;45;0;90;0;5;151;0
6211AW;50;25;25;0;25;20;0;0;30;0;0;30;30;35;20;10;0;0;1,5;35;35;0;0;0;0;0;0;0;30;0;90;0;0;231;0
6211AX;45;25;20;0;20;10;5;5;50;0;0;20;20;30;15;10;0;0;1,6;35;25;0;0;0;10;0;0;0;25;0;90;0;15;286;5
6211AZ;65;30;35;0;25;30;5;0;60;0;0;30;10;40;30;10;0;0;1,4;35;35;0;0;0;0;0;0;0;35;0;100;0;0;222;10
6211BA;105;45;60;5;25;50;20;5;50;10;10;20;20;80;65;15;0;0;1,3;60;10;10;0;0;40;0;0;0;60;0;100;15;0;232;5
6211BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;10;0;0;0;0;173;0
6211BC;105;50;55;0;5;15;25;55;70;10;0;10;10;80;65;10;0;0;1,3;80;0;0;0;30;50;0;0;0;80;0;100;80;0;174;10
6211BD;25;10;15;0;0;10;0;10;50;0;0;30;0;20;10;5;0;0;1,3;20;0;0;0;20;0;0;0;0;15;30;70;10;0;229;0
6211BE;15;5;5;0;0;0;5;0;100;0;0;0;0;10;5;0;0;0;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211BG;85;45;40;0;5;40;20;15;60;0;0;20;10;60;35;20;0;0;1,4;60;0;0;0;0;60;0;0;0;60;0;100;0;5;233;0
6211BH;95;45;50;0;0;55;15;20;60;10;10;10;10;65;40;20;0;0;1,5;65;0;0;0;5;55;0;0;0;60;0;90;0;0;228;5
6211BJ;40;15;25;0;10;15;5;5;70;0;0;0;0;25;15;5;0;0;1,5;20;0;0;0;20;0;0;0;0;20;80;30;0;0;256;0
6211BK;75;40;40;0;35;25;10;0;60;10;0;20;10;65;50;10;0;0;1,2;60;0;0;0;20;40;0;0;0;55;20;80;20;5;178;0
6211BL;25;10;15;0;0;10;0;5;50;0;0;20;0;20;15;0;0;0;1,3;20;0;0;0;15;5;0;0;0;20;50;40;0;0;253;0
6211BN;30;15;15;0;5;10;0;5;60;0;0;30;0;20;10;5;0;0;1,5;20;0;0;0;20;0;0;0;0;20;60;40;0;0;256;0
6211BP;20;10;10;0;0;5;10;0;80;0;0;0;0;10;5;0;0;0;1,8;10;0;0;0;10;0;0;0;0;0;50;50;0;0;273;0
6211BS;15;0;10;0;0;0;5;0;80;0;0;0;0;10;10;0;0;0;1,2;10;0;0;0;0;5;0;0;0;5;60;0;0;0;331;0
6211BT;35;15;20;0;10;10;10;0;50;0;0;30;10;20;10;10;0;0;1,7;20;0;0;0;20;0;0;0;0;15;50;50;0;0;246;0
6211BV;55;25;30;0;15;25;10;10;50;10;0;30;10;40;30;10;0;0;1,4;50;15;0;0;10;25;0;0;0;40;20;80;10;10;209;5
6211BW;20;10;15;0;0;5;0;5;70;0;0;0;0;15;10;5;0;0;1,4;15;0;0;0;15;0;0;0;0;10;50;50;5;0;0;0
6211BX;35;15;15;0;5;15;10;0;60;0;0;20;0;20;10;10;0;0;1,6;20;0;0;0;20;0;0;0;0;20;50;50;0;0;256;0
6211BZ;85;35;45;10;30;20;20;5;50;0;10;30;10;55;40;10;0;5;1,5;45;0;0;0;45;0;0;0;0;45;60;40;0;5;259;0
6211CA;70;25;45;0;45;15;5;0;30;0;0;50;20;60;50;5;0;0;1,2;50;45;0;0;0;0;0;0;0;40;10;80;0;15;236;0
6211CB;90;40;45;0;40;35;10;5;30;0;0;40;20;75;60;15;0;0;1,2;75;60;0;0;10;0;0;0;0;75;0;90;10;15;167;0
6211CC;85;40;45;0;25;30;10;20;40;0;0;30;20;65;45;15;0;0;1,3;70;65;0;0;0;0;5;0;0;60;20;80;15;10;195;5
6211CD;10;5;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;1,5;10;5;0;0;0;0;0;0;0;0;0;0;0;0;383;0
6211CE;20;10;10;0;5;5;5;0;50;0;0;20;0;15;5;0;0;0;1,6;20;0;0;0;0;0;0;20;0;15;0;80;0;5;359;0
6211CH;20;5;15;0;10;5;0;0;40;0;0;0;20;10;0;5;0;0;2,1;10;10;0;0;0;0;0;0;0;10;0;0;0;0;320;0
6211CJ;15;5;5;0;10;0;0;0;0;0;0;0;0;10;10;0;0;0;1,3;10;5;0;0;0;0;0;0;0;0;0;0;0;0;353;0
6211CK;35;15;20;0;20;10;5;0;50;0;0;30;0;25;20;10;0;0;1,3;25;20;0;0;0;0;0;0;0;25;20;80;0;10;254;0
6211CL;25;10;15;0;15;5;0;0;0;0;0;30;40;20;15;0;0;0;1,2;20;20;0;0;0;0;0;0;0;15;0;0;0;0;261;0
6211CM;90;45;45;0;60;30;0;0;30;0;0;40;20;70;55;15;0;0;1,3;65;45;0;0;0;0;20;0;0;65;0;90;0;10;142;0
6211CP;5;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1,2;5;5;0;0;0;0;0;0;0;5;0;0;0;0;588;0
6211CR;10;10;0;0;5;0;0;0;0;0;0;0;0;10;5;0;0;0;1,3;15;15;0;0;0;0;0;0;0;15;0;60;0;10;256;0
6211CS;15;10;5;0;5;0;0;0;40;0;0;50;0;10;10;0;0;0;1,4;10;10;0;0;0;0;0;0;0;10;0;0;0;0;281;0
6211CW;30;20;15;0;10;15;0;0;60;0;0;20;20;30;25;0;0;0;1,1;30;30;0;0;0;0;0;0;0;30;0;80;0;0;167;0
6211DA;10;5;0;0;0;0;0;0;70;0;0;0;0;5;0;0;0;0;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211DE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;10;0;0;0;0;215;0
6211EA;50;25;25;0;35;10;0;0;50;0;0;40;10;40;35;10;0;0;1,2;50;50;0;0;0;0;0;0;0;45;0;100;0;15;203;0
6211EB;50;20;30;0;15;15;10;5;60;0;0;20;0;35;25;5;0;0;1,4;35;30;0;0;0;0;5;0;0;35;20;80;10;0;210;0
6211EC;45;15;30;0;20;15;0;0;30;0;0;30;30;30;20;10;0;0;1,4;30;30;0;0;0;0;0;0;0;30;0;0;0;0;242;0
6211ED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;5;0;0;0;5;1713;0
6211EL;80;35;45;0;55;20;0;0;50;0;0;30;10;75;70;5;0;0;1,1;60;35;0;0;0;20;0;0;0;60;0;90;0;10;175;0
6211EM;40;20;20;0;25;15;0;0;50;0;0;20;20;40;35;0;0;0;1,1;45;45;0;0;0;0;0;0;0;40;0;90;5;10;124;0
6211EN;65;35;30;0;35;20;10;0;30;0;0;50;10;55;45;5;0;0;1,2;60;40;25;0;0;0;0;0;0;55;0;90;0;20;144;0
6211EP;60;30;30;0;35;20;0;0;30;0;0;60;10;50;40;5;0;0;1,2;40;35;0;0;0;0;0;0;0;35;0;90;0;15;221;0
6211ER;125;55;70;0;80;30;10;0;50;0;0;30;20;110;95;15;0;0;1,1;95;75;0;0;0;20;0;0;0;90;0;80;40;5;183;5
6211ES;15;5;10;0;10;0;0;0;0;0;0;60;0;15;15;0;0;0;1,1;15;15;0;0;0;0;0;0;0;15;0;70;0;0;408;0
6211ET;15;0;10;0;10;0;0;0;0;0;0;60;0;10;10;0;0;0;1,2;10;10;0;0;0;0;0;0;0;10;0;0;0;0;282;0
6211EV;10;0;5;0;0;5;0;0;80;0;0;0;0;5;0;0;0;0;1,4;10;0;0;10;0;0;0;0;0;10;0;0;0;0;201;0
6211EX;5;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211EZ;10;5;5;0;10;0;0;0;40;0;0;40;0;10;10;0;0;0;1,1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6211GA;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;505;0
6211GB;20;5;10;0;5;10;0;0;0;0;0;70;0;15;15;0;0;0;1,2;20;20;0;0;0;0;0;0;0;10;0;0;0;5;401;0
6211GC;15;5;5;0;0;0;0;5;70;0;0;0;0;5;0;0;0;0;2,3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;631;0
6211GD;15;0;10;0;10;0;5;0;30;0;0;0;0;10;10;0;0;0;1,4;15;15;0;0;0;0;0;0;0;10;0;80;0;5;500;0
6211GJ;60;40;25;0;5;20;15;20;50;0;0;20;20;45;30;15;0;0;1,4;55;35;0;0;20;0;0;0;0;50;50;50;0;10;319;0
6211GK;10;0;10;0;5;0;0;0;0;0;0;0;0;10;5;0;0;0;1,3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;391;0
6211GL;25;10;10;0;15;0;0;0;0;0;0;60;20;20;15;0;0;0;1,2;15;15;0;0;0;0;0;0;0;10;0;50;0;0;350;0
6211GM;15;10;10;0;5;5;0;0;50;0;0;40;0;10;5;5;0;0;1,4;15;15;0;0;0;0;0;0;0;10;0;0;0;5;359;0
6211GN;5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;5;0;0;0;0;351;0
