Zip,Lat,Lon
6211AL,50.855233,5.692237
6211AM,50.853608,5.691958
6211AN,50.853617,5.692009
6211AP,50.853037,5.691825
6211AR,50.854993,5.692294
6211AT,50.854581,5.690199
6211AV,50.853453,5.69024
6211AW,50.852545,5.690502
6211AX,50.853976,5.68977
6211AZ,50.852668,5.689879
6211BA,50.854667,5.692549
6211BB,50.854881,5.690684
6211BC,50.854877,5.692565
6211BD,50.853268,5.69194
6211BE,50.85291,5.692407
6211BG,50.854206,5.692657
6211BH,50.854376,5.691434
6211BJ,50.853499,5.692798
6211BK,50.854021,5.691182
6211BL,50.853551,5.692933
6211BN,50.85369,5.691272
6211BP,50.85369,5.691434
6211BS,50.853228,5.690603
6211BT,50.853713,5.690915
6211BV,50.852565,5.691346
6211BW,50.853422,5.69242
6211BX,50.853393,5.692698
6211BZ,50.853757,5.691045
6211CA,50.8525,5.692552
6211CB,50.852666,5.692532
6211CC,50.853571,5.693554
6211CD,50.852469,5.693629
6211CE,50.852266,5.692534
6211CH,50.851002,5.690164
6211CJ,50.851917,5.689863
6211CK,50.851889,5.691357
6211CL,50.850866,5.691455
6211CM,50.850359,5.690892
6211CP,50.850499,5.69002
6211CR,50.850358,5.691448
6211CS,50.850638,5.691117
6211CW,50.849939,5.691635
6211DA,50.848493,5.694657
6211DE,50.848562,5.693761
6211EA,50.849183,5.689746
6211EB,50.849277,5.690354
6211EC,50.849532,5.69141
6211ED,50.849635,5.69269
6211EL,50.851095,5.692884
6211EM,50.851289,5.6931
6211EN,50.850193,5.693636
6211EP,50.850494,5.693057
6211ER,50.849831,5.69331
6211ES,50.849227,5.693611
6211ET,50.849402,5.693611
6211EV,50.84917,5.694403
6211EX,50.848368,5.694721
6211EZ,50.847288,5.694681
6211GA,50.847957,5.693666
6211GB,50.848554,5.694165
6211GC,50.847688,5.694324
6211GD,50.848429,5.694017
6211GJ,50.848392,5.693293
6211GK,50.848899,5.693408
6211GL,50.849014,5.693356
6211GM,50.848487,5.692666
6211GN,50.848469,5.692513
6211GR,50.84902,5.691734
6211GS,50.849147,5.691167
6211GT,50.848902,5.69057
6211GV,50.84878,5.689883
6211GW,50.84858,5.69068
6211GX,50.848532,5.69147
6211GZ,50.848165,5.691882
6211HA,50.847845,5.691039
6211HB,50.848178,5.689796
6211HC,50.848209,5.690191
6211HD,50.847718,5.693152
6211HE,50.847403,5.692844
6211HH,50.84627,5.694592
6211HK,50.846207,5.694338
6211HL,50.846536,5.69403
6211HM,50.846161,5.69355
6211HN,50.846371,5.693186
6211HP,50.846378,5.692506
6211HR,50.846733,5.692773
6211HT,50.846897,5.692263
6211HV,50.846468,5.691992
6211HW,50.847439,5.691609
6211HX,50.847407,5.691341
6211HZ,50.846213,5.692765
6211JA,50.846567,5.690764
6211JB,50.846737,5.690774
6211JC,50.846225,5.689978
6211JD,50.845925,5.691165
6211JG,50.845693,5.691481
6211JH,50.84499,5.689639
6211JJ,50.845369,5.689724
6211JK,50.84549,5.688187
6211JL,50.845258,5.691098
6211JM,50.84498,5.692058
6211JN,50.845679,5.692251
6211JP,50.844753,5.691523
6211JR,50.84497,5.69317
6211JS,50.845307,5.694674
6211JV,50.84335,5.695192
6211JW,50.854595,5.693506
6211JX,50.842851,5.693892
6211JZ,50.843226,5.693693
6211KA,50.843576,5.693747
6211KB,50.842787,5.691975
6211KC,50.842445,5.689947
6211KG,50.844354,5.689745
6211KH,50.844427,5.689031
6211KJ,50.844917,5.688175
6211KK,50.844551,5.687163
6211KL,50.845399,5.687214
6211KN,50.846019,5.686712
6211KP,50.846714,5.689212
6211KR,50.846854,5.689327
6211KS,50.846284,5.689065
6211KV,50.847215,5.689496
6211KW,50.847235,5.68922
6211KX,50.84777,5.689965
6211KZ,50.846212,5.685027
6211LA,50.847896,5.689426
6211LB,50.847867,5.689147
6211LC,50.849324,5.689338
6211LD,50.848406,5.688503
6211LE,50.849446,5.687694
6211LG,50.847813,5.68827
6211LH,50.846903,5.687569
6211LJ,50.846165,5.687593
6211LK,50.847132,5.686658
6211LL,50.846235,5.6868
6211LM,50.845684,5.685788
6211LN,50.846219,5.686263
6211LP,50.845635,5.68506
6211LR,50.845356,5.684062
6211LS,50.846654,5.684406
6211LT,50.844806,5.682531
6211LV,50.844236,5.682908
6211LW,50.844581,5.681986
6211LX,50.845904,5.683049
6211LZ,50.846505,5.685229
6211MA,50.846871,5.693534
6211MB,50.846528,5.693339
6211MC,50.845783,5.688992
6211MV,50.846474,5.682725
6211MX,50.846581,5.6838
6211MZ,50.845686,5.683665
6211NA,50.846933,5.681309
6211NB,50.846358,5.68101
6211NC,50.848567,5.678581
6211ND,50.847814,5.67918
6211NE,50.846205,5.680506
6211NG,50.849322,5.678369
6211NH,50.847501,5.681483
6211NJ,50.847984,5.682896
6211NK,50.847489,5.680177
6211NL,50.848749,5.679748
6211NM,50.847937,5.680202
6211NN,50.848974,5.679365
6211NP,50.848167,5.679751
6211NR,50.84895,5.680514
6211NS,50.848057,5.681224
6211NT,50.849033,5.67997
6211NV,50.848123,5.680645
6211NW,50.848896,5.683491
6211NX,50.849247,5.684835
6211NZ,50.849069,5.684336
6211PA,50.84955,5.685277
6211PB,50.849528,5.684173
6211PC,50.849531,5.682535
6211PD,50.849424,5.679712
6211PE,50.849719,5.684821
6211PG,50.849695,5.68267
6211PH,50.849834,5.681433
6211PJ,50.849648,5.679251
6211PK,50.85067,5.683596
6211PL,50.854097,5.68418
6211PM,50.852851,5.682405
6211PN,50.851988,5.681155
6211PP,50.851132,5.679882
6211PR,50.85007,5.678393
6211PS,50.850238,5.67965
6211PW,50.849198,5.682194
6211PX,50.848521,5.682103
6211PZ,50.848831,5.681572
6211RA,50.852932,5.683841
6211RB,50.851546,5.681902
6211RC,50.850346,5.680046
6211RD,50.853038,5.683606
6211RE,50.852289,5.682482
6211RG,50.851571,5.681395
6211RH,50.850827,5.680286
6211RJ,50.849992,5.679181
6211RK,50.851989,5.68448
6211RL,50.852195,5.684531
6211RM,50.85186,5.683187
6211RN,50.853261,5.684951
6211RP,50.851734,5.686258
6211RR,50.853295,5.684566
6211RS,50.852521,5.685277
6211RT,50.85175,5.685967
6211RV,50.851309,5.687381
6211RW,50.854118,5.685682
6211RX,50.853855,5.685128
6211RZ,50.854052,5.688947
6211SB,50.853601,5.6887
6211SC,50.853893,5.689021
6211SE,50.853389,5.689019
6211SG,50.851768,5.689316
6211SH,50.853191,5.688798
6211SJ,50.85181,5.68906
6211SK,50.852535,5.689699
6211SL,50.852395,5.687899
6211SM,50.853009,5.68812
6211SN,50.851673,5.688241
6211SP,50.852698,5.687854
6211SR,50.850971,5.689489
6211ST,50.850726,5.688028
6211SV,50.850186,5.686481
6211SW,50.851072,5.689146
