Zip,Lat,Lon,AccessibilityMetric
6211AL,50.855233,5.692237,0.5618208103200585
6211AM,50.853608,5.691958,0.6854762372664533
6211AN,50.853617,5.692009,0.6845372351856492
6211AP,50.853037,5.691825,0.7362180837092029
6211AR,50.854993,5.692294,0.5777797533689234
6211AT,50.854581,5.690199,0.6041231348074145
6211AV,50.853453,5.69024,0.6906641060026064
6211AW,50.852545,5.690502,0.7716658551171165
6211AX,50.853976,5.68977,0.6437360915166744
6211AZ,50.852668,5.689879,0.7487862227564249
6211BA,50.854667,5.692549,0.5993445923175063
6211BB,50.854881,5.690684,0.5859536056171886
6211BC,50.854877,5.692565,0.5843724170083214
6211BD,50.853268,5.69194,0.7151044087984711
6211BE,50.85291,5.692407,0.7453519384788247
6211BG,50.854206,5.692657,0.6329418732981661
6211BH,50.854376,5.691434,0.6244722316761376
6211BJ,50.853499,5.692798,0.6890500794126942
6211BK,50.854021,5.691182,0.6517603621206505
6211BL,50.853551,5.692933,0.6831540502912068
6211BN,50.85369,5.691272,0.6788359997510125
6211BP,50.85369,5.691434,0.6791216233035287
6211BS,50.853228,5.690603,0.7135356344835628
6211BT,50.853713,5.690915,0.6755407751652331
6211BV,50.852565,5.691346,0.779299288564433
6211BW,50.853422,5.69242,0.699068004261261
6211BX,50.853393,5.692698,0.6991970377348962
6211BZ,50.853757,5.691045,0.6725738199777813
6211CA,50.8525,5.692552,0.7832111810387082
6211CB,50.852666,5.692532,0.7673556872660181
6211CC,50.853571,5.693554,0.6728427106650813
6211CD,50.852469,5.693629,0.7667449864132703
6211CE,50.852266,5.692534,0.8064959064002795
6211CH,50.851002,5.690164,0.8986312730524713
6211CJ,50.851917,5.689863,0.811527358747692
6211CK,50.851889,5.691357,0.8448915218618755
6211CL,50.850866,5.691455,0.9424873709770394
6211CM,50.850359,5.690892,0.9674642475107165
6211CP,50.850499,5.69002,0.9274324439469311
6211CR,50.850358,5.691448,0.9792462753368707
6211CS,50.850638,5.691117,0.9550553049927698
6211CW,50.849939,5.691635,0.9988990459408182
6211DA,50.848493,5.694657,0.882207601800973
6211DE,50.848562,5.693761,0.9349163691278247
6211EA,50.849183,5.689746,0.9272858263296
6211EB,50.849277,5.690354,0.9623809743416256
6211EC,50.849532,5.69141,1.0
6211ED,50.849635,5.69269,0.9990348921255857
6211EL,50.851095,5.692884,0.9122700344823726
6211EM,50.851289,5.6931,0.8895201281016032
6211EN,50.850193,5.693636,0.9445577878505029
6211EP,50.850494,5.693057,0.9521708501391866
6211ER,50.849831,5.69331,0.973732405673564
6211ES,50.849227,5.693611,0.9679612360366936
6211ET,50.849402,5.693611,0.9685545053210456
6211EV,50.84917,5.694403,0.9221742056902452
6211EX,50.848368,5.694721,0.8709552711774897
6211EZ,50.847288,5.694681,0.7809414591270937
6211GA,50.847957,5.693666,0.8887307020845496
6211GB,50.848554,5.694165,0.9145886366819659
6211GC,50.847688,5.694324,0.8358141141565132
6211GD,50.848429,5.694017,0.9142772209811042
6211GJ,50.848392,5.693293,0.9397695469954631
6211GK,50.848899,5.693408,0.9680135375540875
6211GL,50.849014,5.693356,0.9742373355081092
6211GM,50.848487,5.692666,0.960482512349402
6211GN,50.848469,5.692513,0.9603648758010246
6211GR,50.84902,5.691734,0.9929222175545724
6211GS,50.849147,5.691167,0.9879016474639022
6211GT,50.848902,5.69057,0.9568517048849202
6211GV,50.84878,5.689883,0.917011320777764
6211GW,50.84858,5.69068,0.9396526528504878
6211GX,50.848532,5.69147,0.9577208646265356
6211GZ,50.848165,5.691882,0.9303895609202729
6211HA,50.847845,5.691039,0.8813649985761275
6211HB,50.848178,5.689796,0.867479631940321
6211HC,50.848209,5.690191,0.8882127142420183
6211HD,50.847718,5.693152,0.876570921109169
6211HE,50.847403,5.692844,0.8444865809390176
6211HH,50.84627,5.694592,0.6798758456114207
6211HK,50.846207,5.694338,0.6798726023469035
6211HL,50.846536,5.69403,0.722404610359829
6211HM,50.846161,5.69355,0.6908633380350419
6211HN,50.846371,5.693186,0.7196683994693028
6211HP,50.846378,5.692506,0.7262179338188791
6211HR,50.846733,5.692773,0.7659669810524236
6211HT,50.846897,5.692263,0.7872652444194472
6211HV,50.846468,5.691992,0.7365381683721551
6211HW,50.847439,5.691609,0.8471135825099544
6211HX,50.847407,5.691341,0.8392616491358247
6211HZ,50.846213,5.692765,0.7059473758046059
6211JA,50.846567,5.690764,0.7338351265774045
6211JB,50.846737,5.690774,0.7526897299250749
6211JC,50.846225,5.689978,0.6814584725636448
6211JD,50.845925,5.691165,0.6701027061736615
6211JG,50.845693,5.691481,0.6482177372900266
6211JH,50.84499,5.689639,0.5588419131512998
6211JJ,50.845369,5.689724,0.5940682453508341
6211JK,50.84549,5.688187,0.5710587455659427
6211JL,50.845258,5.691098,0.6012751779905912
6211JM,50.84498,5.692058,0.577620079291953
6211JN,50.845679,5.692251,0.648881092025405
6211JP,50.844753,5.691523,0.5553527339233246
6211JR,50.84497,5.69317,0.5715537648598198
6211JS,50.845307,5.694674,0.5825787210724755
6211JV,50.84335,5.695192,0.4128368615583294
6211JW,50.854595,5.693506,0.595822836350639
6211JX,50.842851,5.693892,0.3916707600842175
6211JZ,50.843226,5.693693,0.4196069394364449
6211KA,50.843576,5.693747,0.4453749991974602
6211KB,50.842787,5.691975,0.39645805494580016
6211KC,50.842445,5.689947,0.37126004170397964
6211KG,50.844354,5.689745,0.506715269223463
6211KH,50.844427,5.689031,0.5031990755051179
6211KJ,50.844917,5.688175,0.5258595100704602
6211KK,50.844551,5.687163,0.47856529950367527
6211KL,50.845399,5.687214,0.538786424267398
6211KN,50.846019,5.686712,0.5674792384353746
6211KP,50.846714,5.689212,0.7077433379947831
6211KR,50.846854,5.689327,0.724862344589704
6211KS,50.846284,5.689065,0.6631705281020518
6211KV,50.847215,5.689496,0.765436664570322
6211KW,50.847235,5.68922,0.7566643444178148
6211KX,50.84777,5.689965,0.8374304206397554
6211KZ,50.846212,5.685027,0.5237045214337469
6211LA,50.847896,5.689426,0.8253218514197661
6211LB,50.847867,5.689147,0.8094074456853255
6211LC,50.849324,5.689338,0.9061164366560368
6211LD,50.848406,5.688503,0.8134869806323521
6211LE,50.849446,5.687694,0.8001749796095644
6211LG,50.847813,5.68827,0.7610044450896278
6211LH,50.846903,5.687569,0.6615943180136596
6211LJ,50.846165,5.687593,0.6068428940099987
6211LK,50.847132,5.686658,0.6387723986559488
6211LL,50.846235,5.6868,0.585187439528967
6211LM,50.845684,5.685788,0.5173119391279395
6211LN,50.846219,5.686263,0.5656978035686873
6211LP,50.845635,5.68506,0.4932492776621608
6211LR,50.845356,5.684062,0.4515149742451209
6211LS,50.846654,5.684406,0.5249644559413911
6211LT,50.844806,5.682531,0.3907320599734064
6211LV,50.844236,5.682908,0.3745269661810818
6211LW,50.844581,5.681986,0.3705383718078626
6211LX,50.845904,5.683049,0.4493573123829074
6211LZ,50.846505,5.685229,0.5463663464296403
6211MA,50.846871,5.693534,0.7709192759953544
6211MB,50.846528,5.693339,0.735313009650476
6211MC,50.845783,5.688992,0.6159474960201249
6211MV,50.846474,5.682725,0.4631245314151585
6211MX,50.846581,5.6838,0.5011488356514041
6211MZ,50.845686,5.683665,0.4566261305941296
6211NA,50.846933,5.681309,0.4375385223374236
6211NB,50.846358,5.68101,0.41185518495224505
6211NC,50.848567,5.678581,0.3972304253149818
6211ND,50.847814,5.67918,0.40080898725864655
6211NE,50.846205,5.680506,0.3947593548938774
6211NG,50.849322,5.678369,0.3997496985989755
6211NH,50.847501,5.681483,0.45879171423857323
6211NJ,50.847984,5.682896,0.5197947710978972
6211NK,50.847489,5.680177,0.42058386141956855
6211NL,50.848749,5.679748,0.43090962990112247
6211NM,50.847937,5.680202,0.43065628712226606
6211NN,50.848974,5.679365,0.4229172773400905
6211NP,50.848167,5.679751,0.42219634026695896
6211NR,50.84895,5.680514,0.45620167194975475
6211NS,50.848057,5.681224,0.4638626380114601
6211NT,50.849033,5.67997,0.44075332569444603
6211NV,50.848123,5.680645,0.44722390492183256
6211NW,50.848896,5.683491,0.5647380198902021
6211NX,50.849247,5.684835,0.6337691174367079
6211NZ,50.849069,5.684336,0.6062521266729066
6211PA,50.84955,5.685277,0.6603712740242056
6211PB,50.849528,5.684173,0.6045321382406457
6211PC,50.849531,5.682535,0.5332163147399391
6211PD,50.849424,5.679712,0.43688704299255515
6211PE,50.849719,5.684821,0.6377560948252594
6211PG,50.849695,5.68267,0.5396909227004193
6211PH,50.849834,5.681433,0.49407697304364523
6211PJ,50.849648,5.679251,0.42538163293797615
6211PK,50.85067,5.683596,0.5769278289602444
6211PL,50.854097,5.68418,0.5101320230638023
6211PM,50.852851,5.682405,0.49643253975989055
6211PN,50.851988,5.681155,0.4740441707103629
6211PP,50.851132,5.679882,0.44414850360789715
6211PR,50.85007,5.678393,0.40459362634643886
6211PS,50.850238,5.67965,0.4389102290788621
6211PW,50.849198,5.682194,0.5167742254395273
6211PX,50.848521,5.682103,0.502963389630578
6211PZ,50.848831,5.681572,0.48935942545282385
6211RA,50.852932,5.683841,0.5385756131681321
6211RB,50.851546,5.681902,0.5031103604208403
6211RC,50.850346,5.680046,0.4505502162180421
6211RD,50.853038,5.683606,0.5280781135781765
6211RE,50.852289,5.682482,0.5104820776417104
6211RG,50.851571,5.681395,0.4863095372555915
